AADS,305,1,5445,Ritchie M,DISABILITY HISTORY OF UNITED STATES,NIELSEN,12,9780807022047,RQ,S22,       
ACCT,201,1,1468,Schiff A,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,1,2527, ,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,10,2544,Buchoff B,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,101,1478,Buchoff B,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,101,4808,Buchoff B,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,102,1480,Buchoff B,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,102,2550,Schiff A,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,103,1481,Zorn C,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,103,2554, ,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,104,1484,Schuldenfrei A,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,104,4809, ,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,105,1486, ,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,105,4810, ,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,106,1490, ,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,106,2563,Buchoff B,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,107,4022,Schuldenfrei A,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,107,5796,Azmi Shabestari M,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,2,1469,Schiff A,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,2,2530, ,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,3,1471,Schiff A,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,3,4803, ,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,4,1472,Rao A,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,4,2533,Buchoff B,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,5,4020,Rao A,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,5,4804,Azmi Shabestari M,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,6,1474,Zorn C,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,6,2538, ,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,7,1475,Zorn C,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,7,4805,Schiff A,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,8,4021,Buchoff B,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,8,4806,Schiff A,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,9,1477,Buchoff B,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,9,4807, ,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,900,6131,Cuddy J,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,F21,       
ACCT,201,900,4811, ,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,900,1148,Lemma T,DA FINANCIAL ACCOUNTING W/WILEY PLUS,KIMMEL,9TH,9781119400141,IN,M22,       
ACCT,201,901,2571, ,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,S22,       
ACCT,201,901,1149, ,DA FINANCIAL ACCOUNTING W/CONNECT,SPICELAND,5TH,9781260560664,IN,M22,       
ACCT,202,1,1493,Kasmir R,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,1,2575,Kasmir R,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,101,4023,Smuckler N,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,101,4814, ,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,102,1511,Smuckler N,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,102,4815, ,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,103,1515,Smuckler N,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,103,4816, ,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,104,4024, ,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,104,4817, ,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,105,1520, ,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,2,1496,Kasmir R,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,2,2577,Kasmir R,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,3,1497,Kasmir R,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,3,2580,Kasmir R,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,4,1500,Kasmir R,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,4,2583,Kasmir R,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,5,1503,Hammer S,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
ACCT,202,5,4812,Hammer S,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,S22,       
ACCT,202,6,1505,Hammer S,DA MANAGERIAL ACCTG W/CONNECT,BREWER,9,9781266553554,IN,F21,       
